Direction,Mile,Exit,Town_Number,Town_Name
W,0.44,1,34,Danbury
E,0.78,2,34,Danbury
W,1.47,2A,34,Danbury
E,3.24,3,34,Danbury
W,3.7,3,34,Danbury
E,3.87,4,34,Danbury
W,4.05,4,34,Danbury
E,5.14,5,34,Danbury
W,5.39,5,34,Danbury
W,6,6,34,Danbury
E,7.34,7,34,Danbury
W,7.77,7,34,Danbury
E,8.17,8,34,Danbury
W,8.79,8,9,Bethel
E,11.32,9,97,Newtown
W,11.74,9,97,Newtown
E,15.09,10,97,Newtown
W,15.09,10,97,Newtown
E,16.14,11,97,Newtown
W,16.64,11,97,Newtown
E,18.81,13,130,Southbury
E,19.9,14,130,Southbury
W,20.51,14,130,Southbury
E,21.77,15,130,Southbury
W,22.16,15,130,Southbury
E,24.9,16,130,Southbury
W,25.03,16,130,Southbury
E,29.81,17,151,Waterbury
W,30.48,17,151,Waterbury
E,31.35,18,151,Waterbury
E,31.85,19,151,Waterbury
E,31.92,20,151,Waterbury
W,32.21,20,151,Waterbury
W,32.35,19,151,Waterbury
E,32.45,21,151,Waterbury
E,32.6,22,151,Waterbury
W,32.76,21,151,Waterbury
E,33.02,23,151,Waterbury
W,33.56,22,151,Waterbury
W,34.21,23,151,Waterbury
E,34.57,25,151,Waterbury
W,35.1,24,151,Waterbury
W,35.91,25,,
E,36.49,25A,,
W,36.9,25A,151,Waterbury
E,37.79,26,25,Cheshire
W,38.34,26,25,Cheshire
E,40.04,27,25,Cheshire
E,40.28,28,25,Cheshire
W,40.66,28,131,Southington
W,41.04,27,131,Southington
W,42.1,29,131,Southington
E,42.28,30,131,Southington
W,42.69,30,131,Southington
E,44.09,31,131,Southington
W,44.57,31,131,Southington
E,46.27,32,131,Southington
W,46.27,32,131,Southington
E,48.98,33,110,Plainville
E,49.26,34,110,Plainville
W,49.48,33,110,Plainville
E,50,35,110,Plainville
W,50.61,35,89,New Britain
E,50.65,36,89,New Britain
W,51.19,36,89,New Britain
E,52.85,37,52,Farmington
W,53.16,37,52,Farmington
E,54.19,39,52,Farmington
W,54.31,38,52,Farmington
W,54.51,39,52,Farmington
E,54.99,39A,52,Farmington
W,56,39A,155,West Hartford
E,56.29,40,155,West Hartford
W,56.55,40,155,West Hartford
E,57.03,41,155,West Hartford
W,57.45,41,155,West Hartford
E,57.95,43,155,West Hartford
W,58.01,42,155,West Hartford
W,58.4,43,155,West Hartford
E,59.07,44,155,West Hartford
W,59.27,44,155,West Hartford
E,60.45,46,64,Hartford
W,60.79,46,64,Hartford
W,61.12,47,64,Hartford
E,61.38,48,64,Hartford
W,61.77,48,64,Hartford
E,61.88,49,64,Hartford
E,62.04,50,64,Hartford
E,62.13,51,64,Hartford
E,62.47,52,64,Hartford
W,62.6,50,64,Hartford
W,62.63,51,64,Hartford
E,62.84,53,43,East Hartford
E,63.18,55,43,East Hartford
W,63.37,54,43,East Hartford
E,63.37,56,43,East Hartford
W,63.49,55,43,East Hartford
W,63.63,56,43,East Hartford
E,64.64,58,43,East Hartford
W,64.84,57,43,East Hartford
W,65.21,58,43,East Hartford
E,66.43,59,43,East Hartford
E,67.79,60,77,Manchester
E,68.17,61,77,Manchester
W,68.61,59,77,Manchester
E,68.76,62,77,Manchester
W,69.03,61,77,Manchester
W,70.15,60,77,Manchester
W,71.55,63,77,Manchester
E,71.6,63,77,Manchester
W,72.98,64,146,Vernon
E,73.01,64,146,Vernon
W,73.93,65,146,Vernon
E,74.95,66,146,Vernon
W,75.11,66,146,Vernon
W,77.46,67,142,Tolland
E,80.86,68,142,Tolland
W,81.25,68,142,Tolland
E,83.83,69,142,Tolland
W,84.2,69,142,Tolland
E,85.33,70,160,Willington
W,86.05,70,160,Willington
E,87.48,71,160,Willington
W,88.06,71,160,Willington
E,91.86,72,3,Ashford
E,93.28,73,145,Union
W,93.59,73,145,Union
E,97.19,74,145,Union
E,97.75,74,145,Union
