Mile,Town_Number,Town_Name,Town_Miles
0,34,Danbury,8.62
8.62,9,Bethel,1.43
10.05,18,Brookfield,0.35
10.4,97,Newtown,8.08
18.48,130,Southbury,6.61
25.09,81,Middlebury,4.95
30.04,151,Waterbury,7.23
37.27,25,Cheshire,3.1
40.37,131,Southington,7.6
47.97,110,Plainville,2.35
50.32,89,New Britain,1.54
51.86,52,Farmington,4.13
55.99,155,West Hartford,3.31
59.3,64,Hartford,3.4
62.7,43,East Hartford,4.72
67.42,77,Manchester,5.19
72.61,146,Vernon,4.81
77.42,142,Tolland,7.11
84.53,160,Willington,5.92
90.45,3,Ashford,1.6
92.05,145,Union,5.85
